Country,Rank,KEI,KI,Economic,Innovation,Education,ICT,Business
Moldova,77,4.92,5.08,4.44,4.16,5.79,5.28,9.513888889
Mongolia,83,4.42,4.45,4.3,2.91,5.83,4.63,9.236111111
Morocco,102,3.61,3.25,4.66,3.67,2.07,4.02,9.236111111
Mozambique,129,1.76,0.99,4.05,1.76,0.17,1.05,9.097222222
Myanmar,144,0.96,1.22,0.17,1.3,1.88,0.48,5
Namibia,89,4.1,3.38,6.26,3.72,2.71,3.71,5.416666667
Nepal,134,1.58,1.66,1.33,2.23,1.73,1.01,8.819444444
Netherlands,4,9.11,9.22,8.79,9.46,8.75,9.45,9.722222222
New Zealand,6,8.97,8.93,9.09,8.66,9.81,8.3,9.965277778
Nicaragua,114,2.61,2.18,3.93,1.67,2.98,1.88,7.5
Nigeria,118,2.2,2.51,1.26,2.56,1.62,3.35,8.055555556
Norway,5,9.11,8.99,9.47,9.01,9.43,8.53,9.513888889
Oman,47,6.14,5.87,6.96,5.88,5.23,6.49,9.444444444
Pakistan,116,2.45,2.63,1.93,2.84,1.44,3.6,8.541666667
Panama,65,5.3,5.32,5.26,5.13,5.16,5.67,9.583333333
Paraguay,91,3.95,4.07,3.58,4.07,4.26,3.9,7.569444444
Peru,74,5.01,4.85,5.48,4.11,5.25,5.18,8.263888889
Philippines,92,3.94,3.81,4.32,3.77,4.64,3.03,7.569444444
Poland,38,7.41,7.2,8.01,7.16,7.76,6.7,7.916666667
Portugal,34,7.61,7.34,8.42,7.62,6.99,7.41,9.826388889
Qatar,54,5.84,5.5,6.87,6.42,3.41,6.65,9.409722222
Romania,44,6.82,6.63,7.39,6.14,7.55,6.19,9.409722222
Russian Federation,55,5.78,6.96,2.23,6.93,6.79,7.16,8.958333333
Rwanda,126,1.83,1.14,3.89,1.73,0.77,0.92,9.861111111
Saudi Arabia,50,5.96,6.05,5.68,4.14,5.65,8.37,8.576388889
Senegal,113,2.7,2.28,3.97,2.83,1.32,2.68,9.583333333
Serbia,49,6.02,6.61,4.23,6.47,5.98,7.39,9.201388889
Sierra Leone,143,0.97,0.84,1.38,1.63,0.57,0.32,9.166666667
Singapore,23,8.26,7.79,9.66,9.49,5.09,8.78,9.826388889
Slovak Republic,33,7.64,7.46,8.17,7.3,7.42,7.68,8.715277778
Slovenia,28,8.01,7.91,8.31,8.5,7.42,7.8,9.583333333
South Africa,67,5.21,5.11,5.49,6.89,4.87,3.58,8.680555556
Spain,21,8.35,8.26,8.63,8.23,8.82,7.73,8.402777778
Sri Lanka,101,3.63,3.49,4.04,3.06,4.61,2.8,9.444444444
Sudan,137,1.48,1.82,0.48,1.44,0.84,3.16,7.5
Swaziland,106,3.13,2.99,3.55,4.36,2.27,2.34,7.361111111
Sweden,1,9.43,9.38,9.58,9.74,8.92,9.49,8.888888889
Switzerland,10,8.87,8.65,9.54,9.86,6.9,9.2,8.75
Syrian Arab Republic,111,2.77,3.01,2.04,3.07,2.4,3.55,9.097222222
"Taiwan, China",13,8.77,9.1,7.77,9.38,8.87,9.06,0
Tajikistan,105,3.13,3.33,2.55,2.18,4.66,3.14,7.708333333
Tanzania,127,1.79,1.36,3.07,1.98,0.83,1.26,8.194444444
Thailand,66,5.21,5.25,5.12,5.95,4.23,5.55,8.090277778
Trinidad and Tobago,52,5.91,5.93,5.84,6.36,4.84,6.59,7.395833333
Tunisia,80,4.56,4.8,3.81,4.97,4.55,4.89,9.236111111
Turkey,69,5.16,4.81,6.19,5.83,4.11,4.5,9.583333333
Uganda,117,2.37,1.84,3.97,2.54,1.09,1.88,7.777777778
Ukraine,56,5.73,6.33,3.95,5.76,8.26,4.96,8.541666667
United Arab Emirates,42,6.94,7.09,6.5,6.6,5.8,8.88,9.444444444
United Kingdom,14,8.76,8.61,9.2,9.12,7.27,9.45,9.166666667
United States,12,8.77,8.89,8.41,9.46,8.7,8.51,9.652777778
Uruguay,46,6.39,6.32,6.6,5.94,5.99,7.02,9.548611111
Uzbekistan,104,3.14,3.88,0.92,3.13,5.65,2.87,9.409722222
"Venezuela, RB",86,4.2,5.47,0.42,5.33,5.36,5.71,0
Vietnam,103,3.4,3.6,2.8,2.75,2.99,5.05,7.638888889
"Yemen, Rep.",121,1.92,1.58,2.91,1.96,1.62,1.17,7.222222222
Zambia,115,2.56,2.03,4.15,2.09,2.08,1.93,9.548611111
Zimbabwe,119,2.17,2.85,0.12,3.99,1.99,2.59,3.75
